date,vader_compound,vader_label
2024-12-08,-0.3612,NEGATIVE
2024-12-22,0.2263,POSITIVE
2024-12-19,0.0,NEUTRAL
2024-12-26,-0.6347,NEGATIVE
2024-12-21,0.9371,POSITIVE
2024-12-30,-0.4257,NEGATIVE
2024-12-01,-0.9705,NEGATIVE
2024-12-19,-0.0258,NEUTRAL
2024-12-09,0.4019,POSITIVE
2024-12-01,0.3145,POSITIVE
2024-12-19,0.0,NEUTRAL
2024-12-15,0.8271,POSITIVE
2024-11-30,0.5574,POSITIVE
2024-12-21,0.3612,POSITIVE
2024-12-08,0.0,NEUTRAL
2024-12-12,0.8747,POSITIVE
2024-12-20,-0.3244,NEGATIVE
2024-12-15,0.0,NEUTRAL
2024-12-18,0.4871,POSITIVE
2024-12-20,0.0772,POSITIVE
2024-11-30,0.25,POSITIVE
2024-12-05,0.2144,POSITIVE
2024-12-19,0.8941,POSITIVE
2024-12-29,0.0,NEUTRAL
2024-12-06,0.0,NEUTRAL
2024-12-19,0.0,NEUTRAL
2024-12-09,0.0,NEUTRAL
2024-12-01,-0.836,NEGATIVE
2024-12-22,-0.0258,NEUTRAL
2024-12-27,-0.3089,NEGATIVE
2024-12-30,-0.0835,NEGATIVE
2024-11-30,0.0,NEUTRAL
2024-12-14,0.6808,POSITIVE
2024-12-29,0.8522,POSITIVE
2024-12-28,-0.7463,NEGATIVE
2024-12-01,0.0,NEUTRAL
2024-11-30,-0.2617,NEGATIVE
2024-12-15,0.9393,POSITIVE
2024-12-01,-0.9466,NEGATIVE
2024-12-18,-0.4215,NEGATIVE
2024-12-28,-0.6369,NEGATIVE
2024-12-30,-0.7574,NEGATIVE
2024-12-28,-0.2244,NEGATIVE
2024-12-28,-0.4588,NEGATIVE
2024-12-14,0.2421,POSITIVE
2024-12-18,0.6199,POSITIVE
2024-12-27,0.25,POSITIVE
2024-12-20,0.8176,POSITIVE
2024-12-23,0.0,NEUTRAL
2024-12-14,0.0767,POSITIVE
2024-12-08,0.946,POSITIVE
2024-12-15,-0.5677,NEGATIVE
2024-12-26,0.7351,POSITIVE
2024-12-22,0.6705,POSITIVE
2024-12-24,-0.4404,NEGATIVE
2024-12-01,0.0387,NEUTRAL
2024-12-21,0.3376,POSITIVE
2024-12-22,-0.2732,NEGATIVE
2024-12-17,0.4995,POSITIVE
2024-12-26,0.936,POSITIVE
2024-12-01,0.296,POSITIVE
2024-12-20,-0.573,NEGATIVE
2024-12-07,0.4321,POSITIVE
2024-12-05,-0.4588,NEGATIVE
2024-12-28,-0.7121,NEGATIVE
2024-12-21,-0.0516,NEGATIVE
2024-12-19,-0.1531,NEGATIVE
2024-12-14,0.9919,POSITIVE
2024-12-18,0.0,NEUTRAL
2024-12-02,-0.8519,NEGATIVE
2024-12-01,0.7096,POSITIVE
2024-12-26,-0.5423,NEGATIVE
2024-12-24,0.7783,POSITIVE
2024-12-20,-0.3612,NEGATIVE
2024-12-20,-0.7501,NEGATIVE
2024-12-28,0.8934,POSITIVE
2024-12-12,-0.6476,NEGATIVE
2024-12-11,-0.504,NEGATIVE
2024-12-01,0.7112,POSITIVE
2024-12-24,-0.6326,NEGATIVE
2024-12-20,-0.5719,NEGATIVE
2024-12-28,0.91,POSITIVE
2024-12-11,0.6199,POSITIVE
2024-12-02,-0.3178,NEGATIVE
2024-12-11,-0.114,NEGATIVE
2024-12-11,-0.6124,NEGATIVE
2024-12-27,0.5278,POSITIVE
2024-12-30,0.6486,POSITIVE
2024-12-20,0.6369,POSITIVE
2024-12-07,0.6369,POSITIVE
2024-12-29,0.0,NEUTRAL
2024-12-28,-0.4215,NEGATIVE
2024-12-19,0.0,NEUTRAL
2024-12-23,-0.6144,NEGATIVE
2024-12-27,0.0,NEUTRAL
2024-12-20,-0.6705,NEGATIVE
2024-12-01,0.5719,POSITIVE
2024-12-03,0.9042,POSITIVE
2024-12-28,-0.5994,NEGATIVE
2024-12-08,0.891,POSITIVE
2024-12-28,0.9655,POSITIVE
2024-12-11,0.2263,POSITIVE
2024-12-26,0.6705,POSITIVE
2024-12-03,0.6259,POSITIVE
2024-12-19,-0.3382,NEGATIVE
2024-12-03,-0.765,NEGATIVE
2024-12-25,0.0,NEUTRAL
2024-12-06,-0.5423,NEGATIVE
2024-12-16,0.0372,NEUTRAL
2024-12-11,0.5562,POSITIVE
2024-12-27,0.3612,POSITIVE
2024-12-19,-0.5423,NEGATIVE
2024-12-23,-0.7906,NEGATIVE
